content,title,id
"1986 Virginia Slims of Oklahoma

The 1986 Virginia Slims of Oklahoma was a women's tennis tournament played on indoor hard courts at the Summerfield Racquet Club in Oklahoma City, Oklahoma in the United States and was part of the 1985 Virginia Slims World Championship Series. It was the inaugural edition of the tournament and ran from February 24 through March 2, 1986. Fifth-seeded Marcella Mesker won the singles title.

 Marcella Mesker defeated Lori McNeil 6–4, 4–6, 6–3

 Marcella Mesker / Pascale Paradis defeated Lori McNeil / Catherine Suire 2–6, 7–6, 6–1",1986 Virginia Slims of Oklahoma,11
"Say Man

""Say Man"" is a song by American musician Bo Diddley. Written under his real name of Ellas McDaniel, it was recorded by Bo Diddley in 1959 and released as a single on Checker 931. 

The recording became his biggest US pop hit, reaching number 20 on the Hot 100, and number three on the R&B chart. It arose from a jam session between Diddley and his maracas player Jerome Green, and featured Diddley and Green trading insults. 

Bo Diddley said of the song: ""A lot of the things I did in the Chess studios, we were just goofin' around... They played it back, and it shocked all of us! Of course, they cut out all the dirty parts."" Music critic Maury Dean, while rejecting the idea that the track is ""the first rap song"", says that it is ""the first major soul tune to feature a total spoken patter of pal put-downs to a rockin' beat... Bo's lightning right hand chops chords like sugar cane. The incessant beat throbs into the hot American evening nocturne of streetwise savvy. Rap - with a side of ghetto-blast humor.""

The recording also appeared on the album ""Go Bo Diddley"".",Say Man,12
"Church of the Holy Trinity, Binegar

The Anglican Church of the Holy Trinity, Binegar, Somerset, England is Norman but has been rebuilt and restored several times since. It is a Grade II* listed building.

The original church was Norman however it was largely rebuilt in the 15th century with just the original tower remaining. A Victorian restoration was carried out in 1858.

The need for ongoing maintainence of the joists of the floor and slates on the roof mean the building has been added to the Heritage at Risk Register.

The parish is part of the benefice of Ashwick with Oakhill and Binegar, which is within the Diocese of Bath and Wells.

The stone building has an asbestos slate roof. It consists of a three-bay nave, two-bay chancel and north transept, with an organ chamber, vestry and porch. The three-stage tower is supported by diagonal buttresses. In 1937 three new bells were added in the tower.

Inside the church is a 15th century font and Jacobean altar table. There is a white marble tablet in the church which is a memorial to men from Binegar who died in World War I and a second for the fatalities of World War II.",Church of the Holy Trinity  Binegar,13
"Bernadette Kelly

Bernadette Kelly is a senior British civil servant who has served as Permanent Secretary for the Department for Transport since 18 April 2017.

Kelly joined the Civil Service after graduating, and worked in the Department for Communities and Local Government, the Treasury, Cabinet Office and the Number 10 Policy Unit. She was a Director General at the Department for Business, Innovation and Skills from 2010 until 2015, when she became Director General for the Rail Group in the Department for Trasnport, a post she held until she was appointed Permanent Secretary for that deparmtent on 18 April 2017. Her promotion followed Philip Rutnam's move to the Home Office.

Kelly was made a Companion of the Order of the Bath in 2010.",Bernadette Kelly,14
"Jean-Pierre Coursodon

Jean-Pierre Coursodon (born 23 July 1935 in Paris) is a French critic and film historian. He is also a translator of books on cinema. He has collaborated to the magazines ""Cinéma"" (1958–1965/ 1977–1986), ""Anthologie du Cinéma"" (1966–1969), ""Film Comment"" (1973–1975), ""Cinéma d'Aujourd'hui"" (1975–1976), ""Positif"" (1987).",Jean Pierre Coursodon,15
"Bunopus crassicauda

Bunopus crassicauda, also known as the thickhead rock gecko or thick-tailed tuberculated gecko is a species of gecko endemic to Iran.",Bunopus crassicauda,16
"1979 Paris–Roubaix

The 1979 Paris–Roubaix was the 77th edition of the Paris–Roubaix cycle race and was held on 8 April 1979. The race started in Compiègne and finished in Roubaix. The race was won by Francesco Moser of the Sanson team.",1979 Paris–Roubaix,17
"Palazzo Fraccia

Palazzo Fraccia is a mansion located in the town centre of Alcamo, in the province of Trapani.

This palace was built by Agostino Fraccia, baron of Favarotta and Furni since 1697, in order to have a mansion fiiting to the new social position he had acquired from his noble family; it can certainly be considered one of the most beautiful civil buildings built in the 18th century in Alcamo.

On the Baroque style façade there are eight entrances on the ground floor: the central one is full of decorations; the portal, made with travertine, owing to the restoration of the road, has a raised bottom with simple pedestals, two capitals and a lowered arch (finely decorated at its arrises), surmounted by two brackets with leaf and fruit decorations, supporting the balcony of honour.

The portal of the balcony is also rich with baroque decorations, with two pilasters, other garnitures on both sides, ending with three masks, the biggest one in the middle; the family emblem dominates the tympanum: it is formed by a heart confixed by an arrow and surmounted by the baronial crown.

The other five balconies on the first floor are made with carved stone; the brackets are fluted and have some decorations; on the second floor there are five stone balconies, two windows and two recent balconies. 

As soon as you enter the lobby, there is an atrium: today, of the two ancient staircases, there is only the one leading to the first floor; in the late 19th century they built another staircase leading up to the second floor.

The palace is situated between the Church of Saint Nicholas of Bari (along corso 6 Aprile) and via Porta Stella, where there are two other entrances on the first floor, leading to its eight rooms with accessories, and to the ten rooms existing on the second floor.

The terrace dominates the Church, with a recent balcony which was added in the last century; during the 1950s the building has changed its ownership from the marquess Patti di Santa Rosalia to the families Manno, La Colla, Lucchese and Ippolito.",Palazzo Fraccia,18
"Chester Snow

Chester Snow (June 1, 1881 – January 13, 1970) was an American applied mathematician and physicist, known for his work on formulas for computing capacitance and inductance.

Snow was born in Salt Lake City, Utah. After attending Ogden High School and Utah Agricultural College, Snow matriculated at Harvard University in 1903 and graduated there with an A.B. in 1906. At Brigham Young University he was a professor of physics from 1906 to 1911 and a professor of mathematics from 1911 to 1912. From 1912 to 1914 he was a fellow in physics at the University of Wisconsin, where he received his Ph.D. in 1914. At the University of Idaho mathematics department he was an associate professor from 1914. In 1920 he resigned from the University of Idaho to accept a position as a physicist at the Bureau of Standards in Washington, D.C. In 1924 he was an Invited Speaker of the ICM in Toronto.",Chester Snow,19
"2017 MBC Entertainment Awards

The 2017 MBC Entertainment Awards () presented by Munhwa Broadcasting Corporation (MBC), took place on December 29, 2017 at MBC Public Hall in Sangam-dong, Mapo-gu, Seoul. It was hosted by Kim Hee-chul, Han Jin and Yang Se-hyung. The nominees were chosen from MBC variety, music shows and sitcom that aired from December 2016 to November 2017.",2017 MBC Entertainment Awards,20
"Arcado

Arcado may refer to:",Arcado,21
"Jacy Reese

Jacy Reese is a writer, social scientist, and co-founder of Sentience Institute. He previously worked as a Senior Fellow at Sentience Politics, and before that at Animal Charity Evaluators as Chair of the Board of Directors and then as a full-time researcher. His research focuses on the topics of for effective altruism, anti-speciesism, and plant-based and cellular agriculture. Reese was recognized as one of Vice’s “Humans of the Year” in December 2017 along with his co-founder Kelly Witwicki.

Sentience Institute is a nonprofit think tank working to understand and facilitate the expansion of humanity’s moral circle to all sentient beings. Since they were founded in June 2017, they have published several research reports including a study of the British antislavery movement, a study of the French nuclear power movement, and a poll of American attitudes towards “animal farming and animal-free food.” The poll was done in collaboration with Ipsos Group and was covered by media for results like that 47% of Americans support “a ban on slaughterhouses.” The organization receives its funding from individual donors and other charities like the Centre for Effective Altruism and the Effective Altruism Foundation.

Reese has also discussed the issue of wild animal suffering, arguing that humans should act on behalf of wild animals to alleviate their suffering if it can be done safely and effectively. His 2015 Vox article on the topic was criticized by writers who argued we shouldn’t intervene or that we should instead focus on helping domestic animals.

In fall 2018, he is publishing his first book, ""The End of Animal Farming"", which “outlines an evidence-based roadmap to a humane, ethical, efficient food system where slaughterhouses are obsolete.”",Jacy Reese,22
"Cerddor y Tonic Sol-ffa

Cerddor y Tonic Sol-ffa was a 19th-century monthly Welsh language magazine. It was first published by R. Hughes and Son in Wrexham in 1869, when it was edited by its founder, Methodist minister and musician John Roberts (also an editor of 'Y Cerddor Cymreig' and of 'Y Goleuad'). He had studied tonic sol-ffa since 1863, and the publication, which contained compositions, and articles about music and musicians, was intended for use by students during tonic-solffa lessons.",Cerddor y Tonic Sol ffa,23
"Caldwell Carnegie Library (Caldwell, Kansas)

The Caldwell Carnegie Library, located at 13 N. Osage St. in Caldwell, Kansas, was completed in 1912. It was listed on the National Register of Historic Places in 1983.

It is a Carnegie library designed by Wichita architect Fred G. McCune. It is a concrete block building with a brick veneer.",Caldwell Carnegie Library  Caldwell  Kansas ,24
"Sampur Stupa

Sampur Soodaikudah archaeological site is a historic site with archaeological evidences, situated in Mathalamalai mountain, Sampur, Sri Lanka. The site was discovered by a group of archaeologists, during an archaeological excavation done in the Sampur area in December 2017. However the ruins, including an old Stupa were completely destroyed and flattened out by a group of vandals on 18 December, few days after the discovery.

During the Sri Lankan civil war, many of the archaeological sites in the North and Eastern provinces of Sri Lanka were not properly investigated or recorded as the prevailed threats from the LTTE rebel group. After the defeat of LTTE in 2009, the archaeology department carried out several projects across the North & Eastern provinces to investigate and identify the places with archaeological evidences and the some of places were finally declared as archaeologically protected reserves and monuments. As the instructions given by Akila Viraj Kariyawasam, a similar project was started after the 2015 to investigate the unknown archaeological sites in the Eastern province of the country. In December 2017, as a part of the project a group of archaeologists unearthed a dilapidated Stupa during an excavation done in a Hindu temple premises in Soodaikudah in Sampur. According to the initial evaluations done by the archaeologists, the Stupa is a construction of early Anuradhapura period (377 BC to 1017 AD) with a girth of 15 feet.

The ruins of the stupa were found on land which is used by a recently built Hindu shrine. The local people in Soodaikudah are said to be displaced in 2006 along with Muttur people and had been resettling around the area from 2013. The Hindu shrine, constructed near to the stupa mound, was officially registered in 2014.

A few days after the identification, the Stupa mound had been cleared completely by a group of people using a bulldozer before the Department declared it as an archaeologically and historically important site. The destruction was first revealed by police who conducted investigations following a tip-off given on the police hotline. The incident was reported to the authorities including the Secretary to the President and the Eastern Province Governor by the chief monk of Seruvila Mangala Raja Maha Vihara. A police investigation was started following the incident and meanwhile a court order was issued by the Muttur magistrate, suspending all rehabilitation works on the Hindu temple.

On 23 December, the speaker Karu Jayasuriya revealed that the people who destroyed the Soodaikudah Stupa in Sampur has been identified. A few days after the statement, three people were arrested with a bulldozer and a lorry which were used to destroy the Stupa. The bulldozer had been brought to the Hindu shrine to dig a drinking well around 100 metres away from the Kovil but they had used the vehicle to destroy the Stupa. Local media reported that the two drivers involved in the destruction of the Stupa had met with accidents at different places on the same day. 

On 29 December the Department of Archaeology announced that they will take over the entire land area, where the Sudaikuda Stupa was located for further preservation. In January police arrested three senior members of the Hindu temple board who had connected with the incident.",Sampur Stupa,25
"R.S. Prabhu

R.S Prabhu is an Indian Film producer and Film director in malayalam.

He was born to Ramachandra Prabhu and Yasodha on 5th May 1930 in Ernakulam, Kerala, India. He is married to Sarada and he he has two children. S. Rajagopal, S. Ramesh. 

He started his career as a production manager in Rakthabandham in 1950. After 15 years, In 1965 he produced and directed Rajamalli.He has also acted in Rakthabandham, Moodupadam, Asuravithu.

Vayalar memorial award in 1997 and Kerala critic film award.",R S  Prabhu,26
"Blanford's rock gecko

Blanford's rock gecko (""Bunopus blanfordii"") is a species of gecko found in Israel and Jordan.",Blanford s rock gecko,27
"Too Far to Go (film)

To Far to Go is a 1979 American television film starring Michael Moriarty and Blythe Danner. It is based on John Updike's ""Too Far to Go"", which consists of a collection of linked short stories. The script was by playwright William Hanley.

The story involves the marriage and eventual divorce of Richard and Joan Maple and depict a 1960s New York City and New England milieu through the 1970s and is typical of much of Updike's fiction.",Too Far to Go  film ,28
"The Bonus Brothers

The Bonus Brothers (subtitled Japan Only Bonus Tracks) is a compilation album by American rock band Zebrahead, released November 24, 2017.

On October 13, 2017, Zebrahead announced the release of an album compiling of songs previously only available as bonus tracks on the Japanese editions of their studio albums ""Broadcast to the World"" (2006), ""Phoenix"" (2008), ""Get Nice!"" (2011), ""Call Your Friends"" (2013) and ""Walk the Plank"" (2015) for the following month.

Physical copies are currently available in limited quantities via the band's online store and as merchandise on their upcoming tour.",The Bonus Brothers,29
"John O'Keefe (politician)

John O'Keefe (1827 - 10 June 1877) was an Irish Home Rule League politician. 

He sat as Home Rule MP for Dungarvan in 1874 until his death at age 49 in 1877.",John O Keefe  politician ,30
"Belinda Davis

Belinda Joy Davis (born July 13, 1959) is an American historian of modern Germany and Europe. She holds a BA from Wesleyan University, and earned her PhD from the University of Michigan. Davis writes on popular politics and social change. She is currently Professor of History at Rutgers University.

Davis served on the editorial board of the ""American Historical Review"", and as North American editor of ""Women’s History Review"". She was Fernand Braudel Senior Fellow at the European University Institute in Florence in 2015, and Research Fellow at the Shelby Cullom Davis Center, Princeton University, 2003 - 2004. Davis co-directed the Volkswagen Foundation-funded research project ""Das Fremde im Eigenen: Interkultureller Austausch und kollektive Identitäten in der Revolte der 1960er Jahre.” She is also a political activist, working with the Poor People’s Economic Human Rights Campaign.",Belinda Davis,31
"Bunopus tuberculatus

Bunopus tuberculatus, also known as the Baluch rock gecko, Arabian desert gecko, or southern tuberculated gecko is a species of gecko found in the Middle East.",Bunopus tuberculatus,32
"Suzy Pierson

Suzy Pierson (1902–1996) was a French film actress. She played lead roles in several silent films of the 1920s.",Suzy Pierson,33
"Burt Hall

Burt Hall is a public building in Northumberland Road in Newcastle upon Tyne. It is a Grade II listed building.

The building was designed by John Dyson for the Northumberland Miners' Association and completed in 1895. A plaque on the wall states that it ""was built by the miners' in recognition of valuable service rendered by Thomas Burt M.P. as general secretary for 27 years, and to commemorate his appointment as Parliamentary Secretary to the Board of Trade in 1892."" There is a statue of a miner with his pick and lamp on the roof; the statue is modeled on a painting entitled ""Going Home"". The building served as the head office of the Northumberland Branch of the National Union of Mineworkers until it was acquired by Northumbria University in the 1990s. It is now occupied by the University's Department of Arts, Faculty of Arts, Design and Social Sciences.",Burt Hall,34
"Vinyl norbornene

Vinyl norbornene (VNB) is an organic compound that consists of an vinyl group attached to norbornene. It is a colorless liquid. The compound exists as endo and exo isomers, but these are not typically separated. It is an intermediate in the production of the commercial polymer EPDM. It is prepared by the Diels-Alder reaction of butadiene and cyclopentadiene.

 (intravenous, rabbit = 0.10–0.05 mg/kg(female). It is also a neurotoxin.",Vinyl norbornene,35
"1932 UCI Road World Championships – Men's road race

The men's road race at the 1932 UCI Road World Championships was the sixth edition of the event. The race took place on Wednesday 31 August 1932 in Rome, Italy. The race was won by Alfredo Binda of Italy.",1932 UCI Road World Championships – Men s road race,36
"Coalition for Democratic Change

The Coalition for Democratic Change (CDC) is a political alliance in Liberia.

The alliance was formed in January 2017 to contest the 2017 general elections, bringing together the Congress for Democratic Change, National Patriotic Party and the Liberia People's Democratic Party. It nominated George Weah, leader of the Congress for Democratic Change, as its presidential candidate. Weah was elected President in the second round of voting with 61.5% of the vote, whilst the CDC won 21 of the 73 seats in the House of Representatives.",Coalition for Democratic Change,37
"Poland–Taiwan relations

Polish–Taiwanese relations refers to the bilateral relations between the Republic of Poland and the Republic of China (Taiwan).

Under the circumstance of One China policy, Poland, like majority nations in the world, doesn't recognize Taiwan as a state but only recognizes China as the sole representative. Nonetheless, relationship between two countries have expanded dramatically, and since Poland transformed into a market economy after 1990, Taiwan has been one of largest Asian investors to Poland.

Despite this, they have their representative offices in respective countries. Poland has a representative office in Taipei while Taiwan has a representative office in Warsaw.

Poland and China had established relations following the resurgence of Poland at 1919, but two countries didn't develop a strong relationship due to remoteness. After communist takeovers of both Poland and mainland China, there had been no official diplomatic mission between two states. Communist Poland only considered the newly-established People's Republic of China as the sole representative of China, while the Taiwan-relocated Republic of China was hostile to all communist factors.

Since the end of communism in 1989, Poland and Taiwan had started embracing a stronger and advocating tie. Being allies of the United States and have enjoyed a large decree of success with democratic ideals, the two nations seek to tie stronger.

Several economic agreements have been signed between two nations, notably the double taxation agreement and recently solar energy agreement.",Poland–Taiwan relations,38
"Hernád, Hungary

Hernád is a village in Pest County, Hungary.",Hernád  Hungary,39
"Braxton Family Values (season 6)

On July 19, 2017 Trina Braxton said in a radio interview with ET Cali that they had just started filming the sixth season of ""Braxton Family Values"".

On December 20, 2017 Traci Braxton revealed on Instagram that the sixth season of ""BFV"" is ""coming real soon"".

On December 28, 2017 We TV aired the seventh and last episode of the fifth season of ""Tamar & Vince"" and released a teaser clip for the next season of ""BFV"".",Braxton Family Values  season 6 ,40
"Lva Tolstoho Square

Lva Tolstoho Square, or Leo Tolstoy Square (), is a triangular intersection in Kyiv, Ukraine named after author Leo Tolstoy. The three streets circumscribing the square include Lva Tolstoho Street, Lva Tolstoho Square, and Velyka Vasylkivska Street. The intersection serves as an entry point for Lva Tolstoho station, part of the Kiev Metro.

The square is a tripoint where Pecherskyi District, Shevchenkivskyi District and Holosiivskyi District meet.

The square acts as the end point for the Equality March, Ukraine's largest LGBT pride parade.",Lva Tolstoho Square,41
"Liz Watson (politician)

Liz Watson is an American candidate for U.S. Congress in Indiana. 

Liz Watson attended public schools in Bloomington, Indiana, including Bloomington High School South. She received a bachelor's degree in political science from Carleton College in 1996 and graduated from Georgetown Law School in 2000. She received a fellowship from the law firm of Skadden Arps, was the Director of Workplace Justice at the National Women's Law Center, the Executive Director of the Georgetown Poverty Center and the Labor Policy Director for the United States House Committee on Education and the Workforce.

In July 2017, Watson announced her candidacy to represent Indiana's 9th congressional district in the U.S. Congress as a Democrat. She will face other Democrats in a May 8, 2018 primary. As of October 2017, she had the most cash on hand among Democrats. 

Campaign website",Liz Watson  politician ,42
"Behold Beatrice

Behold Beatrice or Beatrice's Temptation (French: Béatrice devant le désir) is a 1944 French drama film directed by Jean de Marguenat and starring Fernand Ledoux, Jules Berry and Renée Faure. It features an early performance by the future star Simone Signoret.

It was shot at the Victorine Studios in the southern French city of Nice. The film's sets were designed by the art director Georges Wakhévitch.",Behold Beatrice,43
"Believe in Cameroon

Believe in Cameroon (, CRAC) is a political party in Cameroon. The party places a heavy emphasis on agricultural issues which it believes is a key part of the country's socio-economic development. Bernard Njonga, the founder of CRAC, is a candidate in the 2018 presidential elections.",Believe in Cameroon,44
"Chris Ballentine

Dr. Chris Ballentine is the chair of geochemistry at the University of Oxford in the United Kingdom. He uses properties of the noble gases to understand the origin and evolution of Earth’s atmosphere and mantle.

Dr. Chris Ballentine earned his Ph.D. at the University of Cambridge, United Kingdom in 1992. He went on to hold research positions at the Paul Scherrer Institut, Switzerland, the University of Michigan, and ETH Zurich, Switzerland. From 2001 to 2013 he held positions at the University of Manchester before joining the faculty at the University of Oxford.

Ballentine has held the vice president, president, and past president positions with the European Association of Geochemistry. He is a member of the Board of Governors of the Oxford Museum of Natural History and the American Geophysical Union, as well as a former scientific steering committee member for the Deep Carbon Observatory. In 2008, he won the Geological Society of London Bigsby medal for significant contributions to geology. The AGU chose Ballentine as a Fellow in 2013, and in 2016, he won the Eni Award, given to researchers who make advanced scientific breakthroughs in the field of energy, for “New Frontiers of Hydrocarbons.”

Ballentine has shown that by measuring noble gas isotopes, he can identify and quantify the processes controlling the origin, migration, and interaction of subsurface water, hydrocarbons, and fluids. 

He has applied noble gas tools and principles to understand how natural gas fields form inside Earth, the role of groundwater in forming hydrocarbon reservoirs, and the origins of different gases on the planet. Ballentine also has developed quantitative techniques to understand how carbon dioxide behaves in the subsurface, including its role in the crustal carbon cycle, and how carbon-rich fluids have supported subsurface life over geological timescales.",Chris Ballentine,45
"Zane David Memeger is an American attorney who served as the United States Attorney for the Eastern District of Pennsylvania from 2010 to 2016.""",Zane David Memeger,46
"Bharat (film)

Bharat is an upcoming Indian Hindi-language film directed by Ali Abbas Zafar and produced by Atul Agnihotri and Bhushan Kumar under Reel Life Production Pvt. Ltd. It is a remake of the 2014 Korean film ""Ode to My Father"". It will release on Eid 2019.",Bharat  film ,47
"produced by Atul Agnihotri and Bhushan Kumar under Reel Life Production Pvt. Ltd. It is a remake of the 2014 Korean film """"Ode to My Father"""". It will release on Eid 2019.""",Bharat  film ,48
